,"Variable Name","studentid","div","std","schoolid","divid","researchgroup","sessiond","precheated","prehelped","prelater","pre_tot","prepapersubtotal","midcheated","midhelped","midlater","mid_tot","midpapersubtotal","postcheated","posthelped","postlater","post_tot","postpapersubtotal","attritprepost","attritpremid","attritmidpost","pre_verb","pre_math","mid_verb","mid_math","post_verb","post_math","bal","male","rank","bot20","third","numstud","thirdinschool","bigschool","numthird","pre","mid","post","test_type","test","bal_mid","bal_post","mean","sd","norm","classmean","classsd","classnorm"
,"Classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sub-Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Variable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Format Type","long","str1","byte","int","float","byte","str9","str3","str3","str3","byte","byte","str3","str3","str2","int","byte","str3","str3","str2","byte","byte","byte","byte","byte","byte","byte","byte","int","byte","byte","byte","byte","float","byte","byte","int","byte","byte","byte","byte","byte","byte","byte","int","byte","byte","float","float","float","float","float","float"
,"Decimal","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","7","7","7","7","7","7"
,"Interval","DISCRETE","TEXT","DISCRETE","DISCRETE","","DISCRETE","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","","","","",""
,"Dataset Label","Student ID","Division code","Grade","School ID","Unique for school, grade","Supervising group for evaluation","School session (morning or afternoon)","Cheated on pre-test","Helped on pre-test","Took the pre-test at a later date","Absolute total score on pre-test","Total points possible on pre-test","Cheated on mid-test","Helped on mid-test","Took the mid-test at a later date","Absolute total score on mid-test","Total points possible on mid-test","Cheated on post-test","Helped on post-test","Took the post-test at a later date","Absolute total score on post-test","Total points possible on post-test","Attrition from pre to post","Attrition from pre to mid","Attrition from mid to post","Absolute verbal score on pre-test","Absolute math score on pre-test","Absolute verbal score on mid-test","Absolute math score on mid-test","Absolute verbal score on post-test","Absolute math score on post-test","Dummy for balsakhi treatment","Male","Rank by pre-tot in school","In bottom 20 in school-grade on pre-test","Third in pre_tot distribution","Number of students in school-grade","Third in pre-tot in school-grade","School-grade bigger than 50 students","Num of Stud in third in school","Dummy for pre test","Dummy for mid test","Dummy for post test","0=Math, 1=Verbal, 2=Total","Score for this observation","Bal * Mid","Bal * Post","Mean for this test, std in control","St Dev for this test, std in control","Normalized score by control group","Mean for this test, std in school","St Dev for this test, std in school","Normalized score by school"
,"Imputed?","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
,"Unit of Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Question Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Valid Ranges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","","text","","","","","text","text","text","text","","","text","text","text","","","text","text","text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Min","91","","3","101","31010","1","","","","","0","100","","","","0","100","","","","0","100","0","0","0","0","0","0","0","0","0","0","0","1","0","1","7","1","0","2","0","0","0","0","0","0","0","10.83261","9.633142",".0152778","4.5","4.867286","0"
,"Max","6.40e+07","","4","640","46400","11","","","","","94","100","","","","238","100","","","","99","100","1","1","1","49","50","94","144","50","50","1","0","143","1","3","143","3","1","50","1","1","1","2","238","1","1","40.18734","21.02535","11.59053","57.09091","29.37771","4.676466"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Universe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Invalid Ranges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Min","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.953525","","","-2.678343"
